episode,reward,avg_reward,cumulative_reward,lr,loss,avg_loss,epsilon,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
110,-0.1085,-0.0017,0.9019,3.8689e-04,0.0000,0.0001,0.1,-914.34,3,-21.7105,0.0000,0.0914,381.97,0.8,2.0776,0.5000,0.0022
111,-0.0468,-0.0028,0.9605,3.8689e-04,0.0001,0.0001,0.1,-298.29,2,-19.4922,0.0000,0.0298,-140.15,0.8,0.4861,0.1000,0.0201
112,0.0031,-0.0006,0.9968,3.8689e-04,0.0000,0.0001,0.1,-314.34,2,-21.8371,0.0000,0.0314,1.46,1.4,-18.2308,0.4000,0.0452
113,-0.0109,-0.0054,0.9884,3.8689e-04,0.0000,0.0001,0.1,125.95,1,0.0000,1.0000,0.0000,-149.55,2.0,-2.4747,0.3333,0.0518
114,0.0397,-0.0037,1.0542,3.8689e-04,0.0000,0.0000,0.1,538.16,2,14.6888,0.5000,0.0021,-261.07,1.8,-2.2230,0.4667,0.0443
115,0.0315,-0.0063,1.0000,3.8689e-04,0.0000,0.0000,0.1,0.00,0,0.0000,0.0000,0.0000,75.58,1.8,1.9616,0.2667,0.0294
116,-0.0998,-0.0084,0.9020,3.8689e-04,0.0001,0.0000,0.1,-1233.77,3,-18.4269,0.3333,0.1234,-205.16,0.8,1.3892,0.1000,0.0306
117,-0.0164,-0.0129,0.9685,3.8689e-04,0.0000,0.0000,0.1,-82.42,4,-1.7488,0.7500,0.0322,-224.30,1.6,-10.1026,0.3000,0.0348
118,-0.1408,-0.0188,0.8465,3.8689e-04,0.0000,0.0000,0.1,-1276.03,1,0.0000,0.0000,0.1276,493.95,1.8,3.3447,0.8000,0.0383
119,0.0402,-0.0155,1.0442,3.8689e-04,0.0001,0.0000,0.1,618.82,2,13.7384,0.5000,0.0045,1.19,1.2,-2.2412,0.3000,0.0392
120,-0.0696,-0.0184,0.9327,3.6755e-04,0.0001,0.0000,0.1,37.38,2,4.1939,0.5000,0.0052,65.37,0.8,1.4369,0.3000,0.0112
121,-0.0563,-0.021,0.9499,3.6755e-04,0.0004,0.0001,0.1,-548.39,2,-8.4059,0.5000,0.0773,-80.95,1.6,-9.3905,0.4667,0.0263
122,0.0497,-0.0171,1.0291,3.6755e-04,0.0001,0.0001,0.1,114.64,1,0.0000,1.0000,0.0000,184.96,1.2,9.7609,0.4000,0.0122
123,0.0362,-0.0153,1.0387,3.6755e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-462.72,2.2,-3.4875,0.2667,0.0610
124,0.0088,-0.0136,1.0271,3.6755e-04,0.0001,0.0001,0.1,79.28,3,6.9149,0.3333,0.0033,-503.01,1.2,-4.8208,0.0667,0.0606
125,0.1037,-0.0066,1.0989,3.6755e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,126.82,1.6,4.1884,0.4000,0.0119
126,-0.0694,-0.0088,0.9331,3.6755e-04,0.0001,0.0001,0.1,-602.77,1,0.0000,0.0000,0.0603,36.85,1.4,-3.3435,0.6667,0.0375
127,-0.1303,-0.0138,0.8676,3.6755e-04,0.0000,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-283.63,1.8,5.4426,0.4333,0.0461
128,0.0043,-0.0135,0.9931,3.6755e-04,0.0001,0.0001,0.1,-303.87,2,-21.5723,0.0000,0.0304,-94.45,1.0,0.0000,0.4000,0.0133
129,-0.1255,-0.022,0.8819,3.6755e-04,0.0000,0.0001,0.1,-352.98,1,0.0000,0.0000,0.0353,-480.36,1.2,-4.1076,0.1333,0.0560
130,0.0999,-0.016,1.1159,3.6755e-04,0.0001,0.0001,0.1,1157.79,3,8.5251,0.6667,0.0319,-98.67,2.0,-2.8545,0.3000,0.0354
131,0.0309,-0.0198,1.0504,3.6755e-04,0.0000,0.0001,0.1,344.01,1,0.0000,1.0000,0.0000,-880.52,2.4,-59.6805,0.3500,0.0942
132,0.1923,-0.0105,1.1545,3.6755e-04,0.0000,0.0001,0.1,1375.27,3,18.0269,1.0000,0.0000,-529.71,1.4,-4.2846,0.2667,0.0588
133,0.0794,-0.006,1.0725,3.6755e-04,0.0000,0.0001,0.1,911.76,2,5.6020,0.5000,0.0712,138.02,1.0,-7.8413,0.4000,0.0118
134,0.0993,-0.0022,1.1090,3.6755e-04,0.0001,0.0001,0.1,1062.15,1,0.0000,1.0000,0.0000,208.60,1.4,3.6793,0.5000,0.0140
135,0.0919,0.0058,1.1002,3.6755e-04,0.0001,0.0001,0.1,1300.72,1,0.0000,1.0000,0.0000,-48.74,2.2,6.6518,0.4000,0.0559
136,-0.1693,0.0009,0.8396,3.6755e-04,0.0000,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-41.71,0.6,-1.5114,0.1000,0.0060
137,0.1431,0.0065,1.1342,3.6755e-04,0.0001,0.0001,0.1,1446.30,1,0.0000,1.0000,0.0000,244.25,1.0,-0.7352,0.5000,0.0343
138,-0.1546,0.0008,0.8576,3.6755e-04,0.0000,0.0001,0.1,-649.15,1,0.0000,0.0000,0.0649,419.46,1.8,12.1524,0.9000,0.0215
139,-0.1321,-0.0061,0.8854,3.6755e-04,0.0001,0.0001,0.1,-1019.97,2,-15.3349,0.5000,0.1038,-29.57,0.2,0.0000,0.0000,0.0030
140,-0.0405,-0.009,0.9655,3.4917e-04,0.0000,0.0001,0.1,-243.60,1,0.0000,0.0000,0.0244,-332.18,1.6,-6.3904,0.0667,0.0397
141,-0.0046,-0.0052,0.9920,3.4917e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-30.15,1.2,-2.1608,0.5000,0.0099
142,0.086,-0.0011,1.0637,3.4917e-04,0.0002,0.0001,0.1,655.90,2,10.4000,0.5000,0.0173,-258.25,1.2,-7.7974,0.1000,0.0265
143,0.0107,0.005,1.0095,3.4917e-04,0.0001,0.0001,0.1,265.46,1,0.0000,1.0000,0.0000,-187.76,1.8,-5.3319,0.5000,0.0527
144,0.0473,0.0053,1.0000,3.4917e-04,0.0000,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-257.38,0.6,0.0000,0.2000,0.0300
145,-0.0323,0.0067,0.9666,3.4917e-04,0.0001,0.0001,0.1,-171.70,3,-2.4394,0.6667,0.0572,60.68,1.6,4.3640,0.3000,0.0141
146,0.178,0.0161,1.1491,3.4917e-04,0.0001,0.0001,0.1,1275.30,2,34.8591,1.0000,0.0000,-278.09,2.2,-7.5798,0.2500,0.0344
147,0.011,0.0146,0.9644,3.4917e-04,0.0000,0.0001,0.1,-257.05,3,-32.2535,0.0000,0.0257,-49.87,1.6,-4.0357,0.3200,0.0193
148,0.0606,0.0155,1.0332,3.4917e-04,0.0001,0.0001,0.1,173.77,3,5.2322,0.3333,0.0132,-293.25,0.6,-7.5489,0.0000,0.0293
149,-0.0292,0.014,1.0000,3.4917e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,138.69,1.2,27.5602,0.5000,0.0190
150,-0.0708,0.007,0.9134,3.4917e-04,0.0001,0.0001,0.1,-988.34,2,-71.1186,0.0000,0.0988,73.51,1.6,-0.5428,0.4500,0.0228
151,0.0372,0.0113,1.0261,3.4917e-04,0.0001,0.0001,0.1,364.43,1,0.0000,1.0000,0.0000,-135.38,0.6,0.0000,0.2000,0.0142
152,-0.0509,0.0145,0.9312,3.4917e-04,0.0000,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-370.79,0.8,-5.5841,0.0000,0.0371
