episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,quality_score
171,-0.0169,0.00,1,0.000,0.000,0.000,0.0027,0.0027,0.115,0.00,1,0.000,0.000,0.000,0,500.00,15.0
172,0.2658,738.57,2,20.594,1.000,0.000,0.0028,0.0026,0.126,0.00,1,0.000,0.000,0.000,1,-238.57,100.0
173,-0.1011,-293.30,4,-5.882,0.250,0.038,0.0022,0.0026,0.137,0.00,0,0.000,0.000,0.000,0,793.30,0.0
174,0.5055,1770.10,2,289.730,1.000,0.000,0.0022,0.0026,0.124,0.00,1,0.000,0.000,0.000,1,-1270.10,100.0
175,-0.1246,-363.51,3,-8.186,0.333,0.052,0.0028,0.0026,0.135,0.00,0,0.000,0.000,0.000,0,863.51,0.0
176,0.4275,1347.09,4,6.731,0.500,0.048,0.0021,0.0025,0.123,746.95,6,8.550,0.833,0.024,1,-847.09,87.5
177,0.3281,530.36,3,17.643,0.667,0.001,0.0026,0.0025,0.134,287.63,4,3.051,0.750,0.051,1,-30.36,91.7
178,0.1066,192.29,4,5.418,0.500,0.012,0.0021,0.0025,0.122,206.34,5,2.283,0.600,0.044,0,307.71,62.9
179,-0.0773,-463.61,2,-25.372,0.000,0.046,0.0020,0.0024,0.133,0.00,1,0.000,0.000,0.000,0,963.61,0.0
180,-0.1205,-460.43,3,-17.641,0.333,0.048,0.0020,0.0024,0.120,857.24,3,13.967,0.667,0.002,0,960.43,0.0
181,0.2986,448.72,2,109.731,1.000,0.000,0.0024,0.0024,0.131,0.00,1,0.000,0.000,0.000,0,51.28,95.9
182,-0.0326,-300.14,3,-4.580,0.667,0.059,0.0016,0.0024,0.119,0.00,0,0.000,0.000,0.000,0,800.14,7.7
183,-0.0588,-11.15,1,0.000,0.000,0.001,0.0023,0.0024,0.130,0.00,1,0.000,0.000,0.000,0,511.15,14.1
184,0.1828,471.61,4,5.691,0.500,0.028,0.0025,0.0023,0.118,2061.69,3,22.102,1.000,0.000,0,28.39,85.2
185,-0.1281,-505.20,5,-15.970,0.200,0.051,0.0019,0.0023,0.128,0.00,0,0.000,0.000,0.000,0,1005.20,0.0
186,0.0862,0.00,1,0.000,0.000,0.000,0.0017,0.0023,0.117,1373.28,12,5.290,0.667,0.029,0,500.00,15.0
187,0.1234,26.37,2,7.761,0.500,0.001,0.0020,0.0023,0.127,0.00,0,0.000,0.000,0.000,0,473.63,49.6
188,-0.3054,148.13,1,0.000,1.000,0.000,0.0026,0.0023,0.115,1132.84,2,12.869,0.500,0.013,0,351.87,51.9
189,-0.1038,0.00,1,0.000,0.000,0.000,0.0020,0.0023,0.126,0.00,1,0.000,0.000,0.000,0,500.00,15.0
190,-0.4964,-1248.63,10,-6.196,0.200,0.125,0.0017,0.0023,0.114,1325.72,7,12.795,0.857,0.029,0,1748.63,0.0
