episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
108,237.20,-1283.49,0.00,361.45,0.335,0.455,6,2.4,0.500,2.851,0.402,0.002332,0.485
104,-919.25,2343.65,0.00,-125.50,0.227,0.091,7,0.9,0.571,-5.100,0.405,0.000000,0.421
109,-948.11,-1283.49,0.00,361.45,0.335,0.455,6,2.4,0.667,-4.625,0.402,0.000000,0.485
105,81.88,2587.71,0.00,-110.30,0.227,0.091,5,0.9,0.400,1.175,0.736,0.002981,0.417
110,-423.53,-1307.97,0.00,356.95,0.335,0.455,4,2.4,0.500,-8.636,0.571,0.002603,0.480
106,1338.42,2587.71,0.00,-110.30,0.227,0.091,4,0.9,1.000,26.032,0.736,0.000000,0.417
111,-20.66,-1307.97,0.00,356.95,0.335,0.455,4,2.4,0.250,-0.345,0.571,0.000000,0.480
107,-493.45,2587.71,0.00,-110.30,0.227,0.091,8,0.9,0.375,-7.388,0.736,0.002830,0.413
112,-246.59,-1307.97,55.00,402.46,0.545,0.545,8,2.4,0.500,-3.620,1.191,0.002386,0.475
108,-33.25,2587.71,0.00,-144.64,0.470,0.273,6,1.4,0.333,-0.236,-2.773,0.003246,0.409
113,546.09,-1307.97,55.00,402.46,0.545,0.545,6,2.4,0.500,9.095,1.191,0.003275,0.471
109,-1048.22,2587.71,0.00,-144.64,0.470,0.273,9,1.4,0.333,-5.792,-2.773,0.000000,0.409
114,122.57,-1307.97,55.00,402.46,0.545,0.545,6,2.4,0.500,1.634,1.191,0.000000,0.471
110,1041.65,2587.71,0.00,-144.64,0.470,0.273,8,1.4,0.625,6.163,-2.773,0.003014,0.405
115,-465.22,-1307.97,55.00,402.46,0.545,0.545,5,2.4,0.600,-2.740,1.191,0.002715,0.466
111,400.77,2587.71,0.00,-144.64,0.470,0.273,8,1.4,0.625,3.949,-2.773,0.000000,0.405
116,1451.09,-1307.97,55.00,402.46,0.545,0.545,6,2.4,0.833,8.626,1.191,0.000000,0.466
112,374.68,2343.65,0.00,-166.83,0.470,0.273,11,1.4,0.727,6.991,-3.197,0.003031,0.401
117,910.58,-1307.97,55.00,402.46,0.545,0.545,5,2.4,0.600,9.069,1.191,0.002122,0.461
113,-394.11,2343.65,0.00,-166.83,0.470,0.273,6,1.4,0.167,-2.588,-3.197,0.002894,0.397
118,2577.35,-1307.97,55.00,267.67,0.426,0.545,3,2.7,1.000,28.042,-1.466,0.002986,0.457
114,-423.71,2343.65,0.00,-166.83,0.470,0.273,2,1.4,0.000,-16.822,-3.197,0.000000,0.397
119,2402.85,-1307.97,55.00,267.67,0.426,0.545,7,2.7,0.857,21.122,-1.466,0.000000,0.457
115,-1255.58,2493.24,0.00,-131.33,0.515,0.273,11,1.6,0.545,-5.950,-2.501,0.002635,0.471
